Jurisdiction,"Total AllocatedVialsas of Oct 28 2022, 12pm","Total Requestedas of Oct 28 2022, 12pm","Total Shippedas of Oct 28 2022, 12pm"
All Jurisdictions,"1,091,630","852,013","851,853"
Alabama,"6,163","4,523","4,523"
Alaska,660,600,600
American Samoa,40,40,40
Arizona,"16,433","12,173","12,173"
Arkansas,"3,280","2,460","2,460"
California,"112,309","114,189","114,189"
California - Los Angeles,"73,802","65,522","65,522"
Colorado,"18,145","12,805","12,805"
Connecticut,"6,328","6,328","6,328"
Delaware,"1,895","1,415","1,415"
District of Columbia,"28,995","27,415","27,415"
Federated States of Micronesia,20,20,20
Florida,"112,680","74,720","74,720"
Georgia,"54,482","33,522","33,522"
Guam,120,80,80
Hawaii,"3,872","3,232","3,232"
Idaho,"2,000","1,360","1,360"
Illinois,"19,198","15,298","15,298"
Illinois - Chicago,"50,469","40,629","40,629"
Indiana,"11,872","7,812","7,812"
Iowa,"2,441","1,921","1,921"
Kansas,"2,156","1,916","1,916"
Kentucky,"6,140","4,020","4,020"
Louisiana,"11,882","8,862","8,862"
Maine,"1,411","1,271","1,271"
Marshall Islands,20,20,20
Maryland,"23,299","14,539","14,539"
Massachusetts,"24,451","18,311","18,311"
Michigan,"14,318","9,578","9,578"
Minnesota,"10,658","7,198","7,198"
Mississippi,"3,241","1,821","1,821"
Missouri,"9,073","6,053","6,053"
Montana,778,478,478
Nebraska,"1,641","1,421","1,421"
Nevada,"8,682","7,362","7,362"
New Hampshire,"1,467","1,147","1,147"
New Jersey,"22,269","16,149","16,149"
New Mexico,"3,436","2,996","2,996"
New York,"43,375","34,695","34,695"
New York - New York City,"118,444","103,104","103,104"
North Carolina,"20,288","16,648","16,548"
North Dakota,555,415,415
Northern Mariana Islands,60,40,40
Ohio,"18,713","12,573","12,573"
Oklahoma,"5,316","4,756","4,756"
Oregon,"11,498","10,198","10,198"
Palau,20,20,20
Pennsylvania,"16,747","13,631","13,571"
Pennsylvania - Philadelphia,"10,638","6,630","6,630"
Puerto Rico,"5,387","3,267","3,267"
Rhode Island,"4,014","2,774","2,774"
South Carolina,"6,387","4,287","4,287"
South Dakota,"1,711",291,291
Tennessee,"17,602","6,762","6,762"
Texas,"50,814","43,314","43,314"
Texas - Houston,"27,026","14,146","14,146"
Tribal Entities,93,-,-
U.S. Virgin Islands,240,180,180
Utah,"6,169","4,449","4,449"
Vermont,"2,006",846,846
Virginia,"22,259","15,459","15,459"
Washington,"23,930","18,450","18,450"
West Virginia,"2,277","1,057","1,057"
Wisconsin,"5,614","4,534","4,534"
Wyoming,321,281,281
